SP500,APPL,TSLA,MSFT,AMZN,COST
214.11,27.77,13.0,60.47,39.39,146.09
216.38,27.72,12.67,60.17,38.59,146.79
216.92,26.95,12.36,58.7,37.12,146.7
216.42,27.11,12.57,59.02,36.95,149.36
216.59,26.43,12.1,58.12,35.95,152.0
218.28,26.78,12.25,58.87,37.16,151.15
217.87,27.5,12.26,59.65,37.32,152.14
218.99,27.49,12.58,60.64,37.82,151.2
218.5,27.52,12.33,60.35,38.01,150.36
220.15,27.93,12.3,60.86,39.0,151.17
220.58,27.95,12.74,61.12,39.27,152.67
220.7,27.81,12.88,60.4,39.01,151.6
221.52,27.95,13.11,60.53,39.02,151.88
220.48,27.89,13.07,60.61,38.34,151.25
220.91,27.87,12.64,61.09,38.13,151.48
220.38,27.63,12.63,60.26,37.53,150.11
219.57,27.37,12.13,59.2,37.18,151.74
219.68,27.48,12.1,59.25,37.02,152.09
221.0,27.28,12.45,60.22,37.97,151.77
221.7,27.49,12.39,59.95,38.24,151.01
224.6,27.76,12.88,61.37,38.52,153.85
225.15,28.03,12.82,61.01,38.37,157.59
226.51,28.49,12.81,61.97,38.43,159.7
226.25,28.33,12.83,62.17,38.01,160.33
227.76,28.8,13.21,62.98,38.72,159.77
225.88,28.8,13.25,62.68,38.44,158.99
226.81,28.96,13.17,62.58,38.05,160.11
225.04,28.99,13.5,62.3,37.89,160.41
225.53,29.16,13.52,63.62,38.3,163.46
226.4,29.24,13.92,63.54,38.56,163.86
225.77,29.27,13.85,63.54,38.53,163.04
225.38,29.07,13.9,63.55,38.32,162.07
225.71,29.13,14.22,63.24,38.03,162.08
226.27,29.32,14.64,63.28,38.57,162.05
224.4,29.19,14.65,62.99,38.61,161.01
224.35,29.18,14.31,62.9,38.26,161.13
223.53,28.96,14.25,62.14,37.49,160.11
225.24,29.04,14.47,62.58,37.68,159.73
226.58,29.01,15.13,62.3,37.86,159.76
226.4,29.15,15.12,62.3,39.02,162.91
227.21,29.48,15.27,62.84,39.8,162.83
226.46,29.75,15.42,62.64,39.85,160.97
226.46,29.78,15.32,62.62,39.8,161.66
227.1,29.94,15.32,63.19,39.95,161.54
226.53,29.81,15.31,62.61,40.68,161.87
227.05,29.76,15.85,62.7,40.86,161.86
